calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
3 de Febrero,2200,13,20,4,12,4,-34.557869,-58.453312
3 de Febrero,2300,13,27,14,13,0,-34.557053,-58.453991
3 de Febrero,2400,13,20,11,9,0,-34.555958,-58.454954
3 de Febrero,2500,13,17,9,7,1,-34.555302,-58.455513
3 de Febrero,2600,13,16,6,9,1,-34.554197,-58.456494
3 de Febrero,2700,13,15,7,7,1,-34.553299,-58.457253
3 de Febrero,2800,13,30,10,14,6,-34.552271,-58.45781
3 de Febrero,2900,13,33,9,16,8,-34.551146,-58.458623
3 de Febrero,3000,13,19,11,7,1,-34.550803,-58.458833
3 de Febrero,3100,13,21,7,12,2,-34.549505,-58.459821
3 de Febrero,320,13,2,0,2,0,-34.548874,-58.460238
3 de Febrero,3200,13,16,2,10,4,-34.54875,-58.460387
3 de Febrero,3285,13,1,0,1,0,-34.548996,-58.460251
3 de Febrero,3300,13,23,9,12,2,-34.548006,-58.460925
3 de Febrero,3400,13,15,3,11,1,-34.547219,-58.461495
3 de Febrero,3500,13,17,8,6,3,-34.54647,-58.462058
3 de Febrero,3600,13,17,10,5,2,-34.545605,-58.4627
3 de Febrero,3700,13,15,10,3,2,-34.544846,-58.463251
3 de Febrero,3800,13,17,10,5,2,-34.54408,-58.463814
3 de Febrero,3900,13,1,1,0,0,-34.543552,-58.464147
3 de Febrero,4000,13,17,5,10,2,-34.542811,-58.46477
3 de Febrero,4050,13,3,3,0,0,-34.542469,-58.464944
3 de Febrero,4100,13,12,5,5,2,-34.541998,-58.465376
3 de Febrero,4150,13,4,2,2,0,-34.541833,-58.465415
3 de Febrero,4200,13,32,10,13,9,-34.541273,-58.465916
3 de Febrero,4400,13,14,1,12,1,-34.539633,-58.4671
3 de Febrero,4500,13,20,8,9,3,-34.538922,-58.467622
3 de Febrero,4600,13,17,10,6,1,-34.539652,-58.467022
3 de Febrero,4700,13,23,15,8,0,-34.537257,-58.468868
3 de Febrero,4800,13,2,1,1,0,-34.536816,-58.469129
3 de Febrero,600,14,1,1,0,0,,
3 de Febrero,700,14,19,17,1,1,-34.570953,-58.440435
3 de Febrero,800,14,19,9,9,1,-34.570258,-58.441291
3 de Febrero,900,14,19,1,11,7,-34.569537,-58.442497
5 de julio,500,1,16,0,0,16,-34.613166,-58.371128
9 de Julio Av.,1400,1,6,1,4,1,,
Abdala Germï¿½ï¿½ï¿½,100,4,18,0,17,1,-34.629974,-58.367333
Acassuso,1000,9,1,0,1,0,,
Acassuso,200,10,2,2,0,0,,
Acassuso,5100,10,9,2,3,4,-34.639181,-58.503377
Acassuso,5200,10,24,3,16,5,-34.639905,-58.50418
Acassuso,5300,10,9,2,4,3,-34.640588,-58.504991
Acassuso,5300.0,10,11,5,2,4,-34.640623,-58.50491
Acassuso,5400,10,17,6,5,6,-34.641285,-58.505699
Acassuso,5500,10,4,1,2,1,-34.641837,-58.506374
Acassuso,5500.0,10,7,0,4,3,-34.642038,-58.506478
Acassuso,5600,9,19,1,14,4,-34.642594,-58.507103
Acassuso,5700,9,19,3,15,1,-34.643323,-58.507958
Acassuso,5800,9,23,3,17,3,-34.644044,-58.508743
Acassuso,5900,9,15,4,8,3,-34.644703,-58.509487
Acassuso,6000,9,13,3,9,1,-34.645524,-58.510388
Acassuso,6100,9,20,4,13,3,-34.646309,-58.51127
Acassuso,6200,9,21,7,8,6,-34.646951,-58.511929
Acassuso,6300,9,18,7,10,1,-34.648051,-58.513218
